Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.763E-09,0.0027276,0.018597,0,0,0,0.76802,0.0013972,1.8477E-09,-1.6619E-11,0.0012289,-2.0333E-05,0.0023923,0,0,0,0,0,0,package://auboi5/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://auboi5/meshes/base_link.STL,,i5-外发模型.STEP-1/i5-____.STEP-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
jb_Link,3.2669E-07,-0.0035585,0.0016957,0,0,0,1.8535,0.0054991,-7.787E-09,5.7837E-08,0.0053429,-1.2752E-05,0.0035131,0,0,0,0,0,0,package://auboi5/meshes/jb_Link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://auboi5/meshes/jb_Link.STL,,i5-外发模型.STEP-1/M25(ID1).STEP-1,坐标系2,基准轴3,jb_joint,revolute,0,0,0.1215,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
b1_Link,-3.249E-12,0.204,0.0011158,0,0,0,5.6378,0.027366,-1.5574E-08,1.5153E-12,0.012885,-3.7767E-10,0.023395,0,0,0,0,0,0,package://auboi5/meshes/b1_Link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://auboi5/meshes/b1_Link.STL,,i5-外发模型.STEP-1/M25(ID2).STEP-1;i5-外发模型.STEP-1/i5-______.STEP-1;i5-外发模型.STEP-1/M25(ID3).STEP-1,坐标系8,基准轴4,b1_joint,revolute,0,-0.1405,0,1.5708,0,0,jb_Link,0,0,1,0,0,-3.14,3.14,,,,,,,,
b2_Link,1.43909591351073E-06,-0.195128794993428,-0.00296729386877378,0,0,0,2.37440119639565,0.0093842222979008,-6.73245247743687E-08,5.50762167197453E-08,0.00229641281627071,0.000105876942876551,0.00906908015661336,0,0,0,0,0,0,package://auboi5/meshes/b2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://auboi5/meshes/b2_Link.STL,,i5-外发模型.STEP-1/i5-____-1.STEP-1;i5-外发模型.STEP-1/i5-______-0.STEP-1;i5-外发模型.STEP-1/M14(ID4).STEP-1,坐标系3,基准轴5,b2_joint,revolute,0,0.408,-0.1215,3.1416,0,0,b1_Link,0,0,1,0,0,-3.14,3.14,,,,,,,,
wrist1_Link,2.8599E-07,0.00019336,0.0025933,0,0,0,0.59073,0.00090244,9.0885E-09,1.5325E-09,0.00047796,-4.81E-07,0.00087249,0,0,0,0,0,0,package://auboi5/meshes/wrist1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://auboi5/meshes/wrist1_Link.STL,,i5-外发模型.STEP-1/M14(ID5).STEP-1,坐标系5,基准轴7,wrist1_joint,revolute,0,-0.376,-0.1025,0,0,0,b2_Link,0,0,1,0,0,-3.14,3.14,,,,,,,,
wrist2_Link,-2.8586E-07,-0.00019336,0.0025933,0,0,0,0.59073,0.00090244,9.0922E-09,-1.5325E-09,0.00047796,4.81E-07,0.00087249,0,0,0,0,0,0,package://auboi5/meshes/wrist2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://auboi5/meshes/wrist2_Link.STL,,i5-外发模型.STEP-1/M14(ID6).STEP-1,坐标系6,基准轴8,wrist2_joint,revolute,0,-0.1025,0,-1.5708,0,0,wrist1_Link,0,0,1,0,0,-3.14,3.14,,,,,,,,
wrist3_Link,-0.037285,-0.049954,0.0030164,0,0,0,0.43144,0.00072657,-0.00052909,-3.9286E-05,0.0012741,-5.5164E-06,0.0019415,0,0,0,0,0,0,package://auboi5/meshes/wrist3_Link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://auboi5/meshes/wrist3_Link.STL,,i5-外发模型.STEP-1/i5-____-2.STEP-1;电磁铁-2,坐标系7,基准轴10,wrist3_joint,revolute,0,0.094,0.00047211,1.5708,0,0,wrist2_Link,0,0,1,0,0,-3.14,3.14,,,,,,,,
